Jul - Jun reference period,Offence Subdivision,Offence Group,Location Division,Location Subdivision,Location Group,Offence Count
2017,B10 Arson,B11 Cause damage by fire,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,73
2017,B10 Arson,B11 Cause damage by fire,1 Residential,11 Dwelling - private,112 House,330
2017,B10 Arson,B11 Cause damage by fire,1 Residential,11 Dwelling - private,113 Bungalow,5
2017,B10 Arson,B11 Cause damage by fire,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,9
2017,B10 Arson,B11 Cause damage by fire,1 Residential,11 Dwelling - private,115 Houseboat,1
2017,B10 Arson,B11 Cause damage by fire,1 Residential,11 Dwelling - private,116 Ministry Of Housing,41
2017,B10 Arson,B11 Cause damage by fire,1 Residential,11 Dwelling - private,117 Farm House,4
2017,B10 Arson,B11 Cause damage by fire,1 Residential,12 Dwelling  - non-private,121 Boarding House,4
2017,B10 Arson,B11 Cause damage by fire,1 Residential,12 Dwelling  - non-private,124 Nursing Home,3
2017,B10 Arson,B11 Cause damage by fire,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,3
2017,B10 Arson,B11 Cause damage by fire,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,6
2017,B10 Arson,B11 Cause damage by fire,1 Residential,13 Grounds/surrounding land,1310 Farm Building,3
2017,B10 Arson,B11 Cause damage by fire,1 Residential,13 Grounds/surrounding land,132 Backyard,42
2017,B10 Arson,B11 Cause damage by fire,1 Residential,13 Grounds/surrounding land,133 Frontyard,117
2017,B10 Arson,B11 Cause damage by fire,1 Residential,13 Grounds/surrounding land,134 Garage,23
2017,B10 Arson,B11 Cause damage by fire,1 Residential,13 Grounds/surrounding land,135 Shed,25
2017,B10 Arson,B11 Cause damage by fire,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,17
2017,B10 Arson,B11 Cause damage by fire,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),22
2017,B10 Arson,B11 Cause damage by fire,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,93
2017,B10 Arson,B11 Cause damage by fire,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,1
2017,B10 Arson,B11 Cause damage by fire,2 Community,21 Education,211 School,36
2017,B10 Arson,B11 Cause damage by fire,2 Community,21 Education,212 School Grounds,41
2017,B10 Arson,B11 Cause damage by fire,2 Community,21 Education,213 Other Educational,4
2017,B10 Arson,B11 Cause damage by fire,2 Community,22 Health,221 Hospital,9
2017,B10 Arson,B11 Cause damage by fire,2 Community,22 Health,222 Medical Centre,5
2017,B10 Arson,B11 Cause damage by fire,2 Community,22 Health,223 Dental,1
2017,B10 Arson,B11 Cause damage by fire,2 Community,22 Health,224 Other Health,6
2017,B10 Arson,B11 Cause damage by fire,2 Community,23 Religious,231 Church,3
2017,B10 Arson,B11 Cause damage by fire,2 Community,23 Religious,232 Other religious,2
2017,B10 Arson,B11 Cause damage by fire,2 Community,24 Public Transport,242 Train Station,5
2017,B10 Arson,B11 Cause damage by fire,2 Community,24 Public Transport,243 Railway Carpark,5
2017,B10 Arson,B11 Cause damage by fire,2 Community,24 Public Transport,244 Tram/Tram Stop,2
2017,B10 Arson,B11 Cause damage by fire,2 Community,24 Public Transport,245 Bus/Bus Stop,3
2017,B10 Arson,B11 Cause damage by fire,2 Community,25 Other Transport,251 Private Car,46
2017,B10 Arson,B11 Cause damage by fire,2 Community,25 Other Transport,253 Boat,1
2017,B10 Arson,B11 Cause damage by fire,2 Community,25 Other Transport,254 Dock/Wharf,1
2017,B10 Arson,B11 Cause damage by fire,2 Community,25 Other Transport,255 Carpark (Single Level),62
2017,B10 Arson,B11 Cause damage by fire,2 Community,25 Other Transport,256 Carpark (Multi Level),5
2017,B10 Arson,B11 Cause damage by fire,2 Community,25 Other Transport,257 Other Transport Type/Area,11
2017,B10 Arson,B11 Cause damage by fire,2 Community,26 Justice,261 Police Station,7
2017,B10 Arson,B11 Cause damage by fire,2 Community,26 Justice,263 Prison/Detention Centre,7
2017,B10 Arson,B11 Cause damage by fire,2 Community,26 Justice,265 Other Justice Facility,3
2017,B10 Arson,B11 Cause damage by fire,2 Community,27 Open Space,271 Parkland/Reserve,332
2017,B10 Arson,B11 Cause damage by fire,2 Community,27 Open Space,272 Rural,56
2017,B10 Arson,B11 Cause damage by fire,2 Community,27 Open Space,273 Vacant Block,26
2017,B10 Arson,B11 Cause damage by fire,2 Community,27 Open Space,274 Beach Foreshore,8
2017,B10 Arson,B11 Cause damage by fire,2 Community,27 Open Space,275 Other Open Space,43
2017,B10 Arson,B11 Cause damage by fire,2 Community,27 Open Space,276 Beach Car Park,5
2017,B10 Arson,B11 Cause damage by fire,2 Community,28 Street/footpath,281 Street/Lane/Footpath,687
2017,B10 Arson,B11 Cause damage by fire,2 Community,29 Other community location,292 Civic Centre,3
2017,B10 Arson,B11 Cause damage by fire,3 Other,31 Admin/professional,311 Business Office,13
2017,B10 Arson,B11 Cause damage by fire,3 Other,31 Admin/professional,312 Other Admin/Professional,2
2017,B10 Arson,B11 Cause damage by fire,3 Other,32 Financial,321 Bank,2
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,331 Chemist/Pharmacy,3
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,3310 24Hr Convenience,1
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,3311 Restaurant/Fastfood,9
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,3312 Other Retail,30
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,332 Service Station,10
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,333 Jeweller,1
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,335 Supermarket,1
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,336 Department Store,2
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,337 Shopping Complex,19
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,338 Car Sales Yard,4
2017,B10 Arson,B11 Cause damage by fire,3 Other,33 Retail,339 Milkbar,5
2017,B10 Arson,B11 Cause damage by fire,3 Other,34 Wholesale,341 Any Wholesale,1
2017,B10 Arson,B11 Cause damage by fire,3 Other,35 Warehousing/storage,351 Warehousing/Storage,16
2017,B10 Arson,B11 Cause damage by fire,3 Other,36 Manufacturing,361 Factory,42
2017,B10 Arson,B11 Cause damage by fire,3 Other,36 Manufacturing,362 Any Manufacturing,5
2017,B10 Arson,B11 Cause damage by fire,3 Other,37 Agricultural,371 Farmland/Agricultural,37
2017,B10 Arson,B11 Cause damage by fire,3 Other,37 Agricultural,372 Orchard,1
2017,B10 Arson,B11 Cause damage by fire,3 Other,37 Agricultural,373 Other Agricultural,16
2017,B10 Arson,B11 Cause damage by fire,3 Other,38 Recreational,381 Licenced Premises,3
2017,B10 Arson,B11 Cause damage by fire,3 Other,38 Recreational,383 Cinema,1
2017,B10 Arson,B11 Cause damage by fire,3 Other,38 Recreational,384 Sport Area/Facility,30
2017,B10 Arson,B11 Cause damage by fire,3 Other,38 Recreational,386 Other Rec./Sports,24
2017,B10 Arson,B11 Cause damage by fire,3 Other,39 Other location,392 Other Location (Not Elsewhere),52
2017,B10 Arson,B11 Cause damage by fire,3 Other,39 Other location,393 Construction Site,7
2017,B10 Arson,B11 Cause damage by fire,3 Other,39 Other location,394 Veterinary Clinic,2
2017,B10 Arson,B11 Cause damage by fire,4 Unknown/Missing,41 Unknown/Missing,411 Unknown/Missing,53
2017,B10 Arson,B12 Cause a bushfire,1 Residential,13 Grounds/surrounding land,132 Backyard,2
2017,B10 Arson,B12 Cause a bushfire,1 Residential,13 Grounds/surrounding land,133 Frontyard,1
2017,B10 Arson,B12 Cause a bushfire,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),2
2017,B10 Arson,B12 Cause a bushfire,2 Community,21 Education,212 School Grounds,1
2017,B10 Arson,B12 Cause a bushfire,2 Community,27 Open Space,271 Parkland/Reserve,19
2017,B10 Arson,B12 Cause a bushfire,2 Community,27 Open Space,272 Rural,3
2017,B10 Arson,B12 Cause a bushfire,2 Community,27 Open Space,275 Other Open Space,4
2017,B10 Arson,B12 Cause a bushfire,2 Community,28 Street/footpath,281 Street/Lane/Footpath,8
2017,B10 Arson,B12 Cause a bushfire,3 Other,37 Agricultural,371 Farmland/Agricultural,4
2017,B10 Arson,B12 Cause a bushfire,3 Other,37 Agricultural,373 Other Agricultural,1
2017,B10 Arson,B19 Other fire related offences,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,3
2017,B10 Arson,B19 Other fire related offences,1 Residential,11 Dwelling - private,112 House,27
2017,B10 Arson,B19 Other fire related offences,1 Residential,11 Dwelling - private,116 Ministry Of Housing,4
2017,B10 Arson,B19 Other fire related offences,1 Residential,12 Dwelling  - non-private,122 Holiday Home,1
2017,B10 Arson,B19 Other fire related offences,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,1
2017,B10 Arson,B19 Other fire related offences,1 Residential,13 Grounds/surrounding land,1310 Farm Building,3
2017,B10 Arson,B19 Other fire related offences,1 Residential,13 Grounds/surrounding land,132 Backyard,129
2017,B10 Arson,B19 Other fire related offences,1 Residential,13 Grounds/surrounding land,133 Frontyard,43
2017,B10 Arson,B19 Other fire related offences,1 Residential,13 Grounds/surrounding land,134 Garage,1
2017,B10 Arson,B19 Other fire related offences,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),3
2017,B10 Arson,B19 Other fire related offences,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,3
2017,B10 Arson,B19 Other fire related offences,2 Community,21 Education,211 School,4
2017,B10 Arson,B19 Other fire related offences,2 Community,21 Education,212 School Grounds,3
2017,B10 Arson,B19 Other fire related offences,2 Community,25 Other Transport,255 Carpark (Single Level),3
2017,B10 Arson,B19 Other fire related offences,2 Community,27 Open Space,271 Parkland/Reserve,74
2017,B10 Arson,B19 Other fire related offences,2 Community,27 Open Space,272 Rural,13
2017,B10 Arson,B19 Other fire related offences,2 Community,27 Open Space,273 Vacant Block,12
2017,B10 Arson,B19 Other fire related offences,2 Community,27 Open Space,274 Beach Foreshore,4
2017,B10 Arson,B19 Other fire related offences,2 Community,27 Open Space,275 Other Open Space,11
2017,B10 Arson,B19 Other fire related offences,2 Community,28 Street/footpath,281 Street/Lane/Footpath,24
2017,B10 Arson,B19 Other fire related offences,2 Community,29 Other community location,291 Cemetery,1
2017,B10 Arson,B19 Other fire related offences,2 Community,29 Other community location,292 Civic Centre,1
2017,B10 Arson,B19 Other fire related offences,3 Other,33 Retail,337 Shopping Complex,2
2017,B10 Arson,B19 Other fire related offences,3 Other,35 Warehousing/storage,351 Warehousing/Storage,2
2017,B10 Arson,B19 Other fire related offences,3 Other,36 Manufacturing,361 Factory,1
2017,B10 Arson,B19 Other fire related offences,3 Other,37 Agricultural,371 Farmland/Agricultural,48
2017,B10 Arson,B19 Other fire related offences,3 Other,37 Agricultural,372 Orchard,1
2017,B10 Arson,B19 Other fire related offences,3 Other,37 Agricultural,373 Other Agricultural,5
2017,B10 Arson,B19 Other fire related offences,3 Other,38 Recreational,384 Sport Area/Facility,9
2017,B10 Arson,B19 Other fire related offences,3 Other,38 Recreational,386 Other Rec./Sports,1
2017,B10 Arson,B19 Other fire related offences,3 Other,39 Other location,392 Other Location (Not Elsewhere),14
2017,B10 Arson,B19 Other fire related offences,3 Other,39 Other location,393 Construction Site,1
2017,B10 Arson,B19 Other fire related offences,4 Unknown/Missing,41 Unknown/Missing,411 Unknown/Missing,7
2017,B20 Property damage,B21 Criminal damage,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,"2,359"
2017,B20 Property damage,B21 Criminal damage,1 Residential,11 Dwelling - private,112 House,"12,215"
2017,B20 Property damage,B21 Criminal damage,1 Residential,11 Dwelling - private,113 Bungalow,50
2017,B20 Property damage,B21 Criminal damage,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,62
2017,B20 Property damage,B21 Criminal damage,1 Residential,11 Dwelling - private,115 Houseboat,4
2017,B20 Property damage,B21 Criminal damage,1 Residential,11 Dwelling - private,116 Ministry Of Housing,470
2017,B20 Property damage,B21 Criminal damage,1 Residential,11 Dwelling - private,117 Farm House,58
2017,B20 Property damage,B21 Criminal damage,1 Residential,12 Dwelling  - non-private,121 Boarding House,162
2017,B20 Property damage,B21 Criminal damage,1 Residential,12 Dwelling  - non-private,122 Holiday Home,49
2017,B20 Property damage,B21 Criminal damage,1 Residential,12 Dwelling  - non-private,123 Guest House,15
2017,B20 Property damage,B21 Criminal damage,1 Residential,12 Dwelling  - non-private,124 Nursing Home,20
2017,B20 Property damage,B21 Criminal damage,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,165
2017,B20 Property damage,B21 Criminal damage,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,77
2017,B20 Property damage,B21 Criminal damage,1 Residential,13 Grounds/surrounding land,131 Clothesline/Laundry,9
2017,B20 Property damage,B21 Criminal damage,1 Residential,13 Grounds/surrounding land,1310 Farm Building,20
2017,B20 Property damage,B21 Criminal damage,1 Residential,13 Grounds/surrounding land,132 Backyard,308
2017,B20 Property damage,B21 Criminal damage,1 Residential,13 Grounds/surrounding land,133 Frontyard,"1,972"
2017,B20 Property damage,B21 Criminal damage,1 Residential,13 Grounds/surrounding land,134 Garage,193
2017,B20 Property damage,B21 Criminal damage,1 Residential,13 Grounds/surrounding land,135 Shed,67
2017,B20 Property damage,B21 Criminal damage,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,134
2017,B20 Property damage,B21 Criminal damage,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),216
2017,B20 Property damage,B21 Criminal damage,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,"1,591"
2017,B20 Property damage,B21 Criminal damage,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,256
2017,B20 Property damage,B21 Criminal damage,2 Community,21 Education,211 School,414
2017,B20 Property damage,B21 Criminal damage,2 Community,21 Education,212 School Grounds,272
2017,B20 Property damage,B21 Criminal damage,2 Community,21 Education,213 Other Educational,130
2017,B20 Property damage,B21 Criminal damage,2 Community,22 Health,221 Hospital,137
2017,B20 Property damage,B21 Criminal damage,2 Community,22 Health,222 Medical Centre,112
2017,B20 Property damage,B21 Criminal damage,2 Community,22 Health,223 Dental,12
2017,B20 Property damage,B21 Criminal damage,2 Community,22 Health,224 Other Health,120
2017,B20 Property damage,B21 Criminal damage,2 Community,23 Religious,231 Church,106
2017,B20 Property damage,B21 Criminal damage,2 Community,23 Religious,232 Other religious,10
2017,B20 Property damage,B21 Criminal damage,2 Community,24 Public Transport,241 Train,86
2017,B20 Property damage,B21 Criminal damage,2 Community,24 Public Transport,242 Train Station,988
2017,B20 Property damage,B21 Criminal damage,2 Community,24 Public Transport,243 Railway Carpark,241
2017,B20 Property damage,B21 Criminal damage,2 Community,24 Public Transport,244 Tram/Tram Stop,84
2017,B20 Property damage,B21 Criminal damage,2 Community,24 Public Transport,245 Bus/Bus Stop,83
2017,B20 Property damage,B21 Criminal damage,2 Community,24 Public Transport,246 Depot/Terminal,43
2017,B20 Property damage,B21 Criminal damage,2 Community,24 Public Transport,247 Freight Yard,2
2017,B20 Property damage,B21 Criminal damage,2 Community,24 Public Transport,248 Office (Public transport office Only),1
2017,B20 Property damage,B21 Criminal damage,2 Community,24 Public Transport,249 Taxi,15
2017,B20 Property damage,B21 Criminal damage,2 Community,25 Other Transport,251 Private Car,58
2017,B20 Property damage,B21 Criminal damage,2 Community,25 Other Transport,252 Airfield,11
2017,B20 Property damage,B21 Criminal damage,2 Community,25 Other Transport,253 Boat,2
2017,B20 Property damage,B21 Criminal damage,2 Community,25 Other Transport,254 Dock/Wharf,3
2017,B20 Property damage,B21 Criminal damage,2 Community,25 Other Transport,255 Carpark (Single Level),"1,219"
2017,B20 Property damage,B21 Criminal damage,2 Community,25 Other Transport,256 Carpark (Multi Level),274
2017,B20 Property damage,B21 Criminal damage,2 Community,25 Other Transport,257 Other Transport Type/Area,121
2017,B20 Property damage,B21 Criminal damage,2 Community,26 Justice,261 Police Station,315
2017,B20 Property damage,B21 Criminal damage,2 Community,26 Justice,262 Court,33
2017,B20 Property damage,B21 Criminal damage,2 Community,26 Justice,263 Prison/Detention Centre,48
2017,B20 Property damage,B21 Criminal damage,2 Community,26 Justice,264 Youth Training Centre,21
2017,B20 Property damage,B21 Criminal damage,2 Community,26 Justice,265 Other Justice Facility,58
2017,B20 Property damage,B21 Criminal damage,2 Community,26 Justice,269 Other Justice (nec),6
2017,B20 Property damage,B21 Criminal damage,2 Community,27 Open Space,271 Parkland/Reserve,375
2017,B20 Property damage,B21 Criminal damage,2 Community,27 Open Space,272 Rural,33
2017,B20 Property damage,B21 Criminal damage,2 Community,27 Open Space,273 Vacant Block,20
2017,B20 Property damage,B21 Criminal damage,2 Community,27 Open Space,274 Beach Foreshore,27
2017,B20 Property damage,B21 Criminal damage,2 Community,27 Open Space,275 Other Open Space,91
2017,B20 Property damage,B21 Criminal damage,2 Community,27 Open Space,276 Beach Car Park,14
2017,B20 Property damage,B21 Criminal damage,2 Community,28 Street/footpath,281 Street/Lane/Footpath,"6,434"
2017,B20 Property damage,B21 Criminal damage,2 Community,29 Other community location,291 Cemetery,33
2017,B20 Property damage,B21 Criminal damage,2 Community,29 Other community location,292 Civic Centre,65
2017,B20 Property damage,B21 Criminal damage,2 Community,29 Other community location,293 Gallery,8
2017,B20 Property damage,B21 Criminal damage,2 Community,29 Other community location,294 Car Wash,44
2017,B20 Property damage,B21 Criminal damage,3 Other,31 Admin/professional,311 Business Office,485
2017,B20 Property damage,B21 Criminal damage,3 Other,31 Admin/professional,312 Other Admin/Professional,127
2017,B20 Property damage,B21 Criminal damage,3 Other,32 Financial,321 Bank,58
2017,B20 Property damage,B21 Criminal damage,3 Other,32 Financial,323 ATM/Eftpos,10
2017,B20 Property damage,B21 Criminal damage,3 Other,32 Financial,324 Other Financial,4
2017,B20 Property damage,B21 Criminal damage,3 Other,33 Retail,331 Chemist/Pharmacy,44
2017,B20 Property damage,B21 Criminal damage,3 Other,33 Retail,3310 24Hr Convenience,43
2017,B20 Property damage,B21 Criminal damage,3 Other,33 Retail,3311 Restaurant/Fastfood,710
2017,B20 Property damage,B21 Criminal damage,3 Other,33 Retail,3312 Other Retail,979
2017,B20 Property damage,B21 Criminal damage,3 Other,33 Retail,332 Service Station,179
2017,B20 Property damage,B21 Criminal damage,3 Other,33 Retail,333 Jeweller,13
2017,B20 Property damage,B21 Criminal damage,3 Other,33 Retail,334 2nd Hand Dealer,24
2017,B20 Property damage,B21 Criminal damage,3 Other,33 Retail,335 Supermarket,126
2017,B20 Property damage,B21 Criminal damage,3 Other,33 Retail,336 Department Store,87
2017,B20 Property damage,B21 Criminal damage,3 Other,33 Retail,337 Shopping Complex,532
2017,B20 Property damage,B21 Criminal damage,3 Other,33 Retail,338 Car Sales Yard,137
2017,B20 Property damage,B21 Criminal damage,3 Other,33 Retail,339 Milkbar,71
2017,B20 Property damage,B21 Criminal damage,3 Other,34 Wholesale,341 Any Wholesale,21
2017,B20 Property damage,B21 Criminal damage,3 Other,35 Warehousing/storage,351 Warehousing/Storage,160
2017,B20 Property damage,B21 Criminal damage,3 Other,36 Manufacturing,361 Factory,298
2017,B20 Property damage,B21 Criminal damage,3 Other,36 Manufacturing,362 Any Manufacturing,58
2017,B20 Property damage,B21 Criminal damage,3 Other,37 Agricultural,371 Farmland/Agricultural,108
2017,B20 Property damage,B21 Criminal damage,3 Other,37 Agricultural,372 Orchard,2
2017,B20 Property damage,B21 Criminal damage,3 Other,37 Agricultural,373 Other Agricultural,44
2017,B20 Property damage,B21 Criminal damage,3 Other,38 Recreational,381 Licenced Premises,378
2017,B20 Property damage,B21 Criminal damage,3 Other,38 Recreational,382 Tab,4
2017,B20 Property damage,B21 Criminal damage,3 Other,38 Recreational,383 Cinema,5
2017,B20 Property damage,B21 Criminal damage,3 Other,38 Recreational,384 Sport Area/Facility,226
2017,B20 Property damage,B21 Criminal damage,3 Other,38 Recreational,385 Gaming Venue,93
2017,B20 Property damage,B21 Criminal damage,3 Other,38 Recreational,386 Other Rec./Sports,153
2017,B20 Property damage,B21 Criminal damage,3 Other,39 Other location,391 Massage Parlour/Brothel,8
2017,B20 Property damage,B21 Criminal damage,3 Other,39 Other location,392 Other Location (Not Elsewhere),367
2017,B20 Property damage,B21 Criminal damage,3 Other,39 Other location,393 Construction Site,96
2017,B20 Property damage,B21 Criminal damage,3 Other,39 Other location,394 Veterinary Clinic,14
2017,B20 Property damage,B21 Criminal damage,4 Unknown/Missing,41 Unknown/Missing,411 Unknown/Missing,388
2017,B20 Property damage,B22 Graffiti,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,55
2017,B20 Property damage,B22 Graffiti,1 Residential,11 Dwelling - private,112 House,379
2017,B20 Property damage,B22 Graffiti,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,2
2017,B20 Property damage,B22 Graffiti,1 Residential,11 Dwelling - private,115 Houseboat,1
2017,B20 Property damage,B22 Graffiti,1 Residential,11 Dwelling - private,116 Ministry Of Housing,4
2017,B20 Property damage,B22 Graffiti,1 Residential,12 Dwelling  - non-private,122 Holiday Home,3
2017,B20 Property damage,B22 Graffiti,1 Residential,12 Dwelling  - non-private,124 Nursing Home,3
2017,B20 Property damage,B22 Graffiti,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,9
2017,B20 Property damage,B22 Graffiti,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,14
2017,B20 Property damage,B22 Graffiti,1 Residential,13 Grounds/surrounding land,1310 Farm Building,2
2017,B20 Property damage,B22 Graffiti,1 Residential,13 Grounds/surrounding land,132 Backyard,25
2017,B20 Property damage,B22 Graffiti,1 Residential,13 Grounds/surrounding land,133 Frontyard,176
2017,B20 Property damage,B22 Graffiti,1 Residential,13 Grounds/surrounding land,134 Garage,50
2017,B20 Property damage,B22 Graffiti,1 Residential,13 Grounds/surrounding land,135 Shed,9
2017,B20 Property damage,B22 Graffiti,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,9
2017,B20 Property damage,B22 Graffiti,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),29
2017,B20 Property damage,B22 Graffiti,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,42
2017,B20 Property damage,B22 Graffiti,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,6
2017,B20 Property damage,B22 Graffiti,2 Community,21 Education,211 School,110
2017,B20 Property damage,B22 Graffiti,2 Community,21 Education,212 School Grounds,64
2017,B20 Property damage,B22 Graffiti,2 Community,21 Education,213 Other Educational,27
2017,B20 Property damage,B22 Graffiti,2 Community,22 Health,221 Hospital,5
2017,B20 Property damage,B22 Graffiti,2 Community,22 Health,222 Medical Centre,21
2017,B20 Property damage,B22 Graffiti,2 Community,22 Health,223 Dental,3
2017,B20 Property damage,B22 Graffiti,2 Community,22 Health,224 Other Health,14
2017,B20 Property damage,B22 Graffiti,2 Community,23 Religious,231 Church,28
2017,B20 Property damage,B22 Graffiti,2 Community,23 Religious,232 Other religious,1
2017,B20 Property damage,B22 Graffiti,2 Community,24 Public Transport,241 Train,127
2017,B20 Property damage,B22 Graffiti,2 Community,24 Public Transport,242 Train Station,522
2017,B20 Property damage,B22 Graffiti,2 Community,24 Public Transport,243 Railway Carpark,21
2017,B20 Property damage,B22 Graffiti,2 Community,24 Public Transport,244 Tram/Tram Stop,49
2017,B20 Property damage,B22 Graffiti,2 Community,24 Public Transport,245 Bus/Bus Stop,32
2017,B20 Property damage,B22 Graffiti,2 Community,24 Public Transport,246 Depot/Terminal,3
2017,B20 Property damage,B22 Graffiti,2 Community,24 Public Transport,248 Office (Public transport office Only),1
2017,B20 Property damage,B22 Graffiti,2 Community,25 Other Transport,251 Private Car,1
2017,B20 Property damage,B22 Graffiti,2 Community,25 Other Transport,255 Carpark (Single Level),23
2017,B20 Property damage,B22 Graffiti,2 Community,25 Other Transport,256 Carpark (Multi Level),14
2017,B20 Property damage,B22 Graffiti,2 Community,25 Other Transport,257 Other Transport Type/Area,43
2017,B20 Property damage,B22 Graffiti,2 Community,26 Justice,261 Police Station,9
2017,B20 Property damage,B22 Graffiti,2 Community,26 Justice,262 Court,4
2017,B20 Property damage,B22 Graffiti,2 Community,26 Justice,264 Youth Training Centre,1
2017,B20 Property damage,B22 Graffiti,2 Community,26 Justice,265 Other Justice Facility,2
2017,B20 Property damage,B22 Graffiti,2 Community,27 Open Space,271 Parkland/Reserve,81
2017,B20 Property damage,B22 Graffiti,2 Community,27 Open Space,272 Rural,3
2017,B20 Property damage,B22 Graffiti,2 Community,27 Open Space,273 Vacant Block,6
2017,B20 Property damage,B22 Graffiti,2 Community,27 Open Space,274 Beach Foreshore,9
2017,B20 Property damage,B22 Graffiti,2 Community,27 Open Space,275 Other Open Space,12
2017,B20 Property damage,B22 Graffiti,2 Community,27 Open Space,276 Beach Car Park,2
2017,B20 Property damage,B22 Graffiti,2 Community,28 Street/footpath,281 Street/Lane/Footpath,403
2017,B20 Property damage,B22 Graffiti,2 Community,29 Other community location,291 Cemetery,2
2017,B20 Property damage,B22 Graffiti,2 Community,29 Other community location,292 Civic Centre,14
2017,B20 Property damage,B22 Graffiti,2 Community,29 Other community location,293 Gallery,1
2017,B20 Property damage,B22 Graffiti,2 Community,29 Other community location,294 Car Wash,5
2017,B20 Property damage,B22 Graffiti,3 Other,31 Admin/professional,311 Business Office,86
2017,B20 Property damage,B22 Graffiti,3 Other,31 Admin/professional,312 Other Admin/Professional,23
2017,B20 Property damage,B22 Graffiti,3 Other,32 Financial,321 Bank,10
2017,B20 Property damage,B22 Graffiti,3 Other,32 Financial,323 ATM/Eftpos,1
2017,B20 Property damage,B22 Graffiti,3 Other,32 Financial,324 Other Financial,2
2017,B20 Property damage,B22 Graffiti,3 Other,33 Retail,331 Chemist/Pharmacy,10
2017,B20 Property damage,B22 Graffiti,3 Other,33 Retail,3310 24Hr Convenience,2
2017,B20 Property damage,B22 Graffiti,3 Other,33 Retail,3311 Restaurant/Fastfood,50
2017,B20 Property damage,B22 Graffiti,3 Other,33 Retail,3312 Other Retail,139
2017,B20 Property damage,B22 Graffiti,3 Other,33 Retail,332 Service Station,14
2017,B20 Property damage,B22 Graffiti,3 Other,33 Retail,333 Jeweller,3
2017,B20 Property damage,B22 Graffiti,3 Other,33 Retail,334 2nd Hand Dealer,1
2017,B20 Property damage,B22 Graffiti,3 Other,33 Retail,335 Supermarket,16
2017,B20 Property damage,B22 Graffiti,3 Other,33 Retail,336 Department Store,6
2017,B20 Property damage,B22 Graffiti,3 Other,33 Retail,337 Shopping Complex,73
2017,B20 Property damage,B22 Graffiti,3 Other,33 Retail,338 Car Sales Yard,3
2017,B20 Property damage,B22 Graffiti,3 Other,33 Retail,339 Milkbar,7
2017,B20 Property damage,B22 Graffiti,3 Other,35 Warehousing/storage,351 Warehousing/Storage,19
2017,B20 Property damage,B22 Graffiti,3 Other,36 Manufacturing,361 Factory,33
2017,B20 Property damage,B22 Graffiti,3 Other,36 Manufacturing,362 Any Manufacturing,3
2017,B20 Property damage,B22 Graffiti,3 Other,37 Agricultural,371 Farmland/Agricultural,4
2017,B20 Property damage,B22 Graffiti,3 Other,37 Agricultural,373 Other Agricultural,4
2017,B20 Property damage,B22 Graffiti,3 Other,38 Recreational,381 Licenced Premises,16
2017,B20 Property damage,B22 Graffiti,3 Other,38 Recreational,384 Sport Area/Facility,62
2017,B20 Property damage,B22 Graffiti,3 Other,38 Recreational,386 Other Rec./Sports,24
2017,B20 Property damage,B22 Graffiti,3 Other,39 Other location,391 Massage Parlour/Brothel,1
